#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AE2F23
#Date Time: 2020-08-13 20:22:49.900

Math 1 (V),Math 2 (V)
-0.1657581496885283,6.694337206621398e-06
-0.1694505082666474,6.694337206623083e-06
-0.169450508266649,6.694337206623083e-06
-0.169450508266649,6.694337206623083e-06
-0.1842505128496271,1.410962463337308e-05
-0.1879275862924785,1.040198091999977e-05
-0.1879123011572192,6.694337206623083e-06
-0.1879123011572192,6.694337206623083e-06
-0.1878970160219582,2.986693493248084e-06
-0.1952970183134438,6.694337206621398e-06
-0.1989740917562986,2.98669349324977e-06
-0.2100664526258982,6.694337206621398e-06
-0.2137588112040156,6.694337206623083e-06
-0.2063588089125283,2.986693493248084e-06
-0.2174358846468654,2.986693493248084e-06
-0.2285435306517344,1.040198091999808e-05
-0.2322206040945858,6.694337206624769e-06
-0.2359129626727015,6.694337206623083e-06
-0.2359282478079624,1.04019809199964e-05
